FuntionalGroup	SMARTS
PhosphonicDiester	[PX4;$([H1]),$([H0][#6])](=[OX1])([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]
PhosphonicDiamide	[PX4;$([H1]),$([H0][#6])](=[OX1])([#7X3H2,#7X3H1,#7X3H0])[#7X3H2,#7X3H1,#7X3H0]
PhosphonicEsteramide	[PX4;$([H1]),$([H0][#6])](=[OX1])([OX2][#6;!$(C=[O,N,S])])[#7X3H2,#7X3H1,#7X3H0]
Phosphonium	[PX4+;!$([P]*~[#7,#8,#15,#16])]
PhosphinicAcidDerivative	[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[#8])[!#6]
PhosphinicAcid	[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[OX1])[$([OX2H]),$([OX1-])]
PhosphinicEster	[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[OX1])[OX2][#6;!$(C=[O,N,S])]
PhosphinicAmide	[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[OX1])[#7X3H2,#7X3H1,#7X3H0]
PhosphonousDerivatives	[PX3;$([H1]),$([H0][#6])]
PhosphonousAcid	[PX3;$([H1]),$([H0][#6])]([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]
PhosphonousDiester	[PX3;$([H1]),$([H0][#6])]([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]
PhosphinousDerivatives	[PX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])]
CarbodithioicEster	[CX3;!R;$([C][#6]),$([CH]);$([C](=[SX1])[SX2][#6;!$(C=[O,N,S])])]
Disulfide	[SX2D2][SX2D2]
Isothiocyanate	[NX2]=[CX2]=[SX1]
SulfenicDerivative	[SX2;$([H1]),$([H0][#6])]
SulfenicAmide	[SX2;$([H1]),$([H0][#6])][#7X3H2,#7X3H1,#7X3H0]
SulfinicDerivative	[SX3;$([H1]),$([H0][#6])](=[#8])[!#6]
SulfinicAcid	[SX3;$([H1]),$([H0][#6])](=[OX1])[$([OX2H]),$([OX1-])]
SulfinicEster	[SX3;$([H1]),$([H0][#6])](=[OX1])[OX2][#6;!$(C=[O,N,S])]
SulfinicAmide	[SX3;$([H1]),$([H0][#6])](=[OX1])[#7X3H2,#7X3H1,#7X3H0]
Sulfite	[$([OX2]),$([OX1-])][SX3](=[OX1])[$([OX2]),$([OX1-])]
Sulfone	[$([SX4](=[OX1])(=[OX1])([#6])[#6]),$([SX4+2]([OX1-])([OX1-])([#6])[#6])]
SulfonicDerivative	[SX4;$([H1]),$([H0][#6])](=[#8])(=[#8])[!#6]
Sulfonicacid	[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[$([OX2H]),$([OX1-])]
SulfonicHalide	[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[FX1,ClX1,BrX1,IX1]
SulfonicEster	[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[OX2][#6;!$(C=[O,N,S])]
SulfonicAmide	[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[#7X3H2,#7X3H1,#7X3H0]
Sulfonium	[S+;!$([S]~[!#6]);!$([S]*~[#7,#8,#15,#16])]
Sulfoxide	[$([SX3](=[OX1])([#6])[#6]),$([SX3+]([OX1-])([#6])[#6])]
SulfuricDerivative	[SX4D4](=[#8])(=[#8])([!#6])[!#6]
SulfuricAcid	[SX4](=[OX1])(=[OX1])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]
SulfuricMonoester	[SX4](=[OX1])(=[OX1])([$([OX2H]),$([OX1-])])[OX2][#6;!$(C=[O,N,S])]
SulfuricDiester	[SX4](=[OX1])(=[OX1])([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]
SulfuricDiamide	[SX4](=[OX1])(=[OX1])([#7X3H2,#7X3H1,#7X3H0])[#7X3H2,#7X3H1,#7X3H0]
SulfuricEsteramide	[SX4](=[OX1])(=[OX1])([OX2][#6;!$(C=[O,N,S])])([#7X3H2,#7X3H1,#7X3H0])
Thioamide	[$([CX3;!R][#6]),$([CX3H;!R])](=[SX1])[#7X3H2,#7X3H1,#7X3H0]
Thiocarbonyl	[CX3]=[SX1]
Xanthate	[CX4][OX2][CX3](=[S])[SX2][CX4]
Thiocyanate	[SX2][CX2]#[NX1]
Thioester	[#6][SX2][CX3](=[O])[#6]
Thiol	[SX2H]
Aklythiol	[SX2H][CX4;!$(C([SX2H])~[O,S,#7,#15])]
Arylthiol	[SX2H][c]
